city,town,road,,,
基隆市,七堵區,八德路,1,1,1
基隆市,七堵區,三合街,1,1,2
基隆市,七堵區,大同街,1,1,3
基隆市,七堵區,大成街,1,1,4
基隆市,七堵區,大華一路,1,1,5
基隆市,七堵區,大華二路,1,1,6
基隆市,七堵區,大華三路,1,1,7
基隆市,七堵區,大德路,1,1,8
基隆市,七堵區,工東街,1,1,9
基隆市,七堵區,工建北路,1,1,10
基隆市,七堵區,工建西路,1,1,11
基隆市,七堵區,工建南路,1,1,12
基隆市,七堵區,工建路,1,1,13
基隆市,七堵區,六堵一街,1,1,14
基隆市,七堵區,六堵二街,1,1,15
基隆市,七堵區,永富路,1,1,16
基隆市,七堵區,光明路,1,1,17
基隆市,七堵區,百一街,1,1,18
基隆市,七堵區,百七街,1,1,19
基隆市,七堵區,百二街,1,1,20
基隆市,七堵區,百三街,1,1,21
基隆市,七堵區,百五街,1,1,22
基隆市,七堵區,百六街,1,1,23
基隆市,七堵區,自治北街,1,1,24
基隆市,七堵區,自治街,1,1,25
基隆市,七堵區,自強路,1,1,26
基隆市,七堵區,明德一路,1,1,27
基隆市,七堵區,明德二路,1,1,28
基隆市,七堵區,明德三路,1,1,29
基隆市,七堵區,東新街,1,1,30
基隆市,七堵區,長安街,1,1,31
基隆市,七堵區,俊德街,1,1,32
基隆市,七堵區,俊賢路,1,1,33
基隆市,七堵區,南光街,1,1,34
基隆市,七堵區,南興路,1,1,35
基隆市,七堵區,泰安路,1,1,36
基隆市,七堵區,泰和街,1,1,37
基隆市,七堵區,堵南街,1,1,38
基隆市,七堵區,崇孝街,1,1,39
基隆市,七堵區,崇信街,1,1,40
基隆市,七堵區,崇智街,1,1,41
基隆市,七堵區,崇廉街,1,1,42
基隆市,七堵區,崇義街,1,1,43
基隆市,七堵區,崇禮街,1,1,44
基隆市,七堵區,華新一路,1,1,45
基隆市,七堵區,華新二路,1,1,46
基隆市,七堵區,開元路,1,1,47
基隆市,七堵區,溪頭街,1,1,48
基隆市,七堵區,實踐路,1,1,49
基隆市,七堵區,福一街,1,1,50
基隆市,七堵區,福二街,1,1,51
基隆市,七堵區,福三街,1,1,52
基隆市,七堵區,福五街,1,1,53
基隆市,七堵區,福六街,1,1,54
基隆市,七堵區,綠葉街,1,1,55
基隆市,七堵區,麗景一街,1,1,56
基隆市,七堵區,麗景二街,1,1,57
基隆市,七堵區,褔一街,1,1,58
基隆市,中山區,中山一路,1,2,1
基隆市,中山區,中山二路,1,2,2
基隆市,中山區,中山三路,1,2,3
基隆市,中山區,中山四路,1,2,4
基隆市,中山區,中山區文明路,1,2,5
基隆市,中山區,中平街,1,2,6
基隆市,中山區,中和路,1,2,7
基隆市,中山區,中華路,1,2,8
基隆市,中山區,仁安街,1,2,9
基隆市,中山區,太白街,1,2,10
基隆市,中山區,文化路,1,2,11
基隆市,中山區,文明路,1,2,12
基隆市,中山區,仙洞街,1,2,13
基隆市,中山區,光華路,1,2,14
基隆市,中山區,安一路,1,2,15
基隆市,中山區,成功二路,1,2,16
基隆市,中山區,西定路,1,2,17
基隆市,中山區,協和街,1,2,18
基隆市,中山區,健民街,1,2,19
基隆市,中山區,通仁街,1,2,20
基隆市,中山區,通明3巷,1,2,21
基隆市,中山區,通明街,1,2,22
基隆市,中山區,復旦路,1,2,23
基隆市,中山區,復興路,1,2,24
基隆市,中山區,湖海路一段,1,2,25
基隆市,中山區,華興街,1,2,26
基隆市,中山區,新民路,1,2,27
基隆市,中山區,新生路,1,2,28
基隆市,中山區,德安路,1,2,29
基隆市,中正區,八斗街,1,3,1
基隆市,中正區,中正路,1,3,2
基隆市,中正區,中船路,1,3,3
基隆市,中正區,北寧路,1,3,4
基隆市,中正區,平一路,1,3,5
基隆市,中正區,平二路,1,3,6
基隆市,中正區,平三路,1,3,7
基隆市,中正區,正義路,1,3,8
基隆市,中正區,正榮街,1,3,9
基隆市,中正區,正濱路,1,3,10
基隆市,中正區,正豐街,1,3,11
基隆市,中正區,立德路,1,3,12
基隆市,中正區,和一路,1,3,13
基隆市,中正區,和二路,1,3,14
基隆市,中正區,和平街,1,3,15
基隆市,中正區,東海街,1,3,16
基隆市,中正區,武昌街,1,3,17
基隆市,中正區,信一路,1,3,18
基隆市,中正區,信七路,1,3,19
基隆市,中正區,信二路,1,3,20
基隆市,中正區,信三路,1,3,21
基隆市,中正區,信五路,1,3,22
基隆市,中正區,信六路,1,3,23
基隆市,中正區,信四路,1,3,24
基隆市,中正區,基隆嶼,1,3,25
基隆市,中正區,祥豐街,1,3,26
基隆市,中正區,彭佳嶼,1,3,27
基隆市,中正區,新豐街,1,3,28
基隆市,中正區,義一路,1,3,29
基隆市,中正區,義二路,1,3,30
基隆市,中正區,義三路,1,3,31
基隆市,中正區,漁港一街,1,3,32
基隆市,中正區,漁港二街,1,3,33
基隆市,中正區,漁港三街,1,3,34
基隆市,中正區,調和街,1,3,35
基隆市,中正區,環港街,1,3,36
基隆市,中正區,豐稔街,1,3,37
基隆市,中正區,觀海街,1,3,38
基隆市,仁愛區,仁一路,1,4,1
基隆市,仁愛區,仁二路,1,4,2
基隆市,仁愛區,仁三路,1,4,3
基隆市,仁愛區,仁五路,1,4,4
基隆市,仁愛區,仁四路,1,4,5
基隆市,仁愛區,公園街,1,4,6
基隆市,仁愛區,光一路,1,4,7
基隆市,仁愛區,光二路,1,4,8
基隆市,仁愛區,成功一路,1,4,9
基隆市,仁愛區,曲水街,1,4,10
基隆市,仁愛區,自來街,1,4,11
基隆市,仁愛區,孝一路,1,4,12
基隆市,仁愛區,孝二路,1,4,13
基隆市,仁愛區,孝三路,1,4,14
基隆市,仁愛區,孝四路,1,4,15
基隆市,仁愛區,延平街,1,4,16
基隆市,仁愛區,忠一路,1,4,17
基隆市,仁愛區,忠二路,1,4,18
基隆市,仁愛區,忠三路,1,4,19
基隆市,仁愛區,忠四路,1,4,20
基隆市,仁愛區,南新街,1,4,21
基隆市,仁愛區,南榮路,1,4,22
基隆市,仁愛區,崇安街,1,4,23
